Incident_ID,Date,Location,Area_Burned (Acres),Homes_Destroyed,Businesses_Destroyed,Vehicles_Damaged,Injuries,Fatalities,Estimated_Financial_Loss (Million $),Cause,,,,
INC1000,11/22/2020,Sonoma County,14048,763,474,235,70,19,2270.57,Lightning,,,,
INC1001,9/23/2021,Sonoma County,33667,1633,4,263,100,2,1381.14,Lightning,,,,
INC1002,2/10/2022,Shasta County,26394,915,291,31,50,6,2421.96,Human Activity,,,,
INC1003,5/17/2021,Sonoma County,20004,1220,128,34,28,0,3964.16,Unknown,,,,
INC1004,9/22/2021,Sonoma County,40320,794,469,147,0,15,1800.09,Unknown,,,,
INC1005,5/17/2023,Butte County,48348,60,205,21,58,2,4458.29,Human Activity,,,,
INC1006,4/29/2018,San Diego County,16038,1404,137,64,13,11,713.8,Human Activity,,,,
INC1007,8/23/2015,Napa Valley,24519,121,28,125,0,5,2001.33,Lightning,,,,
INC1008,12/8/2023,Sonoma County,20418,299,264,208,33,4,1012.23,Unknown,,,,
INC1009,12/1/2018,Butte County,21351,275,196,153,41,2,2611.9,Lightning,,,,
INC1010,10/30/2018,Riverside County,34157,623,41,143,58,17,2529.7,Human Activity,,,,
INC1011,9/30/2021,Santa Barbara County,20800,1739,183,78,12,18,1630.38,Human Activity,,,,
INC1012,2/8/2020,Sonoma County,9544,382,244,24,32,19,98.69,Unknown,,,,
INC1013,6/27/2016,San Diego County,14737,505,434,247,16,8,801.44,Human Activity,,,,
INC1014,3/22/2016,Napa Valley,17421,1161,319,300,97,16,1488.8,Unknown,,,,
INC1015,6/8/2022,Los Angeles County,3668,142,493,32,26,19,3576.23,Lightning,,,,
INC1016,2/22/2018,Riverside County,13416,1766,441,223,13,2,927.62,Lightning,,,,
INC1017,4/16/2014,Sonoma County,25094,1014,288,269,30,12,268.91,Human Activity,,,,
INC1018,8/11/2021,Mendocino County,35889,1212,483,19,39,14,603.55,Human Activity,,,,
INC1019,9/25/2022,Orange County,44974,270,83,50,82,7,268.08,Human Activity,,,,
INC1020,9/5/2019,Napa Valley,36784,461,215,195,33,9,1691.28,Human Activity,,,,
INC1021,3/20/2015,Mendocino County,45742,1812,37,45,100,6,2745.19,Lightning,,,,
INC1022,9/30/2022,San Diego County,16346,429,279,228,88,12,4063.06,Human Activity,,,,
INC1023,7/20/2020,Riverside County,13531,1066,239,156,15,2,1518.79,Lightning,,,,
INC1024,2/16/2019,Butte County,33242,1760,118,240,44,13,4866.99,Unknown,,,,
INC1025,12/14/2016,Shasta County,30226,477,427,131,42,17,3512.91,Unknown,,,,
INC1026,11/19/2019,Shasta County,14713,465,56,163,59,10,1840.53,Human Activity,,,,
INC1027,8/1/2023,Riverside County,44280,1296,158,173,32,4,2952.17,Human Activity,,,,
INC1028,6/3/2014,Butte County,17860,1819,391,45,20,15,1975.26,Unknown,,,,
INC1029,10/18/2015,San Diego County,39768,65,75,211,7,14,1745.67,Lightning,,,,
INC1030,7/22/2022,Los Angeles County,34463,1966,339,172,53,11,644.92,Lightning,,,,
INC1031,6/24/2019,Shasta County,10138,1285,78,148,17,14,723.16,Human Activity,,,,
INC1032,3/19/2017,San Diego County,357,887,181,89,3,9,650.72,Lightning,,,,
INC1033,10/6/2018,Sonoma County,16772,1736,371,122,16,4,1385.77,Unknown,,,,
INC1034,2/20/2015,Riverside County,49008,665,399,238,37,3,1554.65,Lightning,,,,
INC1035,10/27/2023,Shasta County,39532,1021,359,120,7,16,3654.42,Lightning,,,,
INC1036,9/5/2015,San Diego County,26894,1045,362,200,12,2,979.66,Lightning,,,,
INC1037,11/10/2014,Shasta County,21502,1763,452,218,7,3,1653.22,Lightning,,,,
INC1038,3/16/2014,Mendocino County,41647,484,210,180,7,16,286.64,Lightning,,,,
INC1039,12/29/2018,Santa Barbara County,47883,1097,444,84,64,17,4193.45,Lightning,,,,
INC1040,11/22/2018,San Diego County,28971,750,348,176,88,9,180.99,Unknown,,,,
INC1041,7/5/2017,Los Angeles County,20521,653,255,257,17,9,4127.94,Lightning,,,,
INC1042,9/8/2014,San Diego County,6651,1559,43,102,13,5,2024.82,Human Activity,,,,
INC1043,5/22/2015,Los Angeles County,44006,189,113,38,35,5,4096.31,Human Activity,,,,
INC1044,5/25/2021,Sonoma County,17272,504,381,297,27,13,3797.55,Lightning,,,,
INC1045,5/13/2014,Sonoma County,21703,735,279,294,3,1,1305.34,Human Activity,,,,
INC1046,8/27/2021,Butte County,1409,345,263,275,75,4,3372.39,Human Activity,,,,
INC1047,5/16/2014,San Diego County,28661,276,313,89,7,10,3485.12,Unknown,,,,
INC1048,7/8/2015,Butte County,48680,1031,124,264,28,3,3407.09,Human Activity,,,,
INC1049,1/23/2022,San Diego County,32243,572,219,80,26,14,3244.26,Human Activity,,,,
INC1050,6/25/2022,Butte County,25558,903,162,300,48,14,3373,Lightning,,,,
INC1051,6/13/2017,Riverside County,3823,1536,385,159,18,16,4643.14,Unknown,,,,
INC1052,5/30/2023,San Diego County,23777,18,222,190,72,18,1168.16,Unknown,,,,
INC1053,9/13/2019,San Diego County,39796,1691,427,121,50,3,3856.86,Lightning,,,,
INC1054,4/6/2021,Butte County,35821,1123,60,162,70,8,4280.93,Lightning,,,,
INC1055,4/5/2019,Shasta County,46290,453,453,248,95,8,4829.7,Lightning,,,,
INC1056,5/12/2020,Butte County,46294,1902,258,275,6,8,1472.98,Human Activity,,,,
INC1057,10/10/2022,Los Angeles County,19735,1035,475,95,11,0,971.37,Human Activity,,,,
INC1058,2/3/2014,Santa Barbara County,47674,1186,438,71,54,11,2580.87,Unknown,,,,
INC1059,2/14/2016,Riverside County,30482,492,229,11,24,15,3605.99,Human Activity,,,,
INC1060,6/30/2016,Orange County,43014,1491,425,62,44,13,2133.12,Unknown,,,,
INC1061,3/28/2014,Los Angeles County,11162,544,223,196,100,8,85.57,Unknown,,,,
INC1062,2/24/2023,Sonoma County,24600,1598,406,98,65,17,3407.61,Unknown,,,,
INC1063,10/10/2022,Napa Valley,27965,702,436,22,92,13,4113.58,Human Activity,,,,
INC1064,3/4/2020,Shasta County,38714,957,222,229,64,8,4391.05,Unknown,,,,
INC1065,4/24/2014,Mendocino County,36554,914,293,240,98,5,567.31,Unknown,,,,
INC1066,12/15/2021,Shasta County,5403,97,216,261,25,16,3351.39,Lightning,,,,
INC1067,6/23/2020,Orange County,42712,692,253,106,63,19,2395.1,Unknown,,,,
INC1068,10/6/2018,Mendocino County,25678,1388,393,274,48,5,3397.83,Unknown,,,,
INC1069,8/18/2017,Orange County,2135,95,412,103,49,0,273.68,Lightning,,,,
INC1070,10/24/2021,Riverside County,29236,1563,240,66,50,13,3930.88,Unknown,,,,
INC1071,10/4/2019,Orange County,18906,229,67,262,8,13,3704.72,Unknown,,,,
INC1072,3/30/2019,Sonoma County,4297,313,98,247,50,7,1809.76,Unknown,,,,
INC1073,10/10/2018,Butte County,33326,1017,271,75,38,17,3381.87,Unknown,,,,
INC1074,3/4/2014,Napa Valley,9737,1735,386,52,44,10,4075.67,Lightning,,,,
INC1075,8/12/2018,Los Angeles County,33911,141,63,286,59,2,3097.09,Human Activity,,,,
INC1076,10/20/2022,Butte County,9866,705,101,5,4,14,2987.13,Unknown,,,,
INC1077,1/9/2021,Napa Valley,44869,1601,290,50,13,2,3502.68,Human Activity,,,,
INC1078,2/8/2023,Napa Valley,45821,763,371,145,80,6,52.59,Human Activity,,,,
INC1079,8/23/2023,Santa Barbara County,41584,1609,12,212,42,7,1314.42,Unknown,,,,
INC1080,4/10/2016,Orange County,6620,1054,354,13,16,15,3685.18,Human Activity,,,,
INC1081,11/14/2023,Napa Valley,40299,731,151,42,47,19,147.02,Unknown,,,,
INC1082,7/26/2016,Napa Valley,17392,66,322,249,12,7,1565.13,Human Activity,,,,
INC1083,1/13/2021,Shasta County,18920,896,144,200,35,6,1177.54,Human Activity,,,,
INC1084,8/4/2015,Orange County,37858,595,217,118,14,9,1257.56,Unknown,,,,
INC1085,5/12/2020,Shasta County,3366,697,99,232,56,10,3764.96,Lightning,,,,
INC1086,10/29/2017,Mendocino County,40223,692,69,72,87,12,4049.86,Unknown,,,,
INC1087,6/18/2023,Santa Barbara County,18789,1883,281,220,51,12,3169.49,Unknown,,,,
INC1088,8/22/2023,Orange County,44484,1093,438,51,16,12,1096.2,Human Activity,,,,
INC1089,5/15/2016,Shasta County,49653,1417,318,70,20,17,4059.9,Lightning,,,,
INC1090,11/16/2014,Mendocino County,22675,1968,312,37,84,4,416.63,Lightning,,,,
INC1091,9/28/2020,Orange County,42554,965,151,34,13,19,4488.62,Human Activity,,,,
INC1092,12/8/2015,Mendocino County,18542,1114,71,143,22,14,2848.43,Lightning,,,,
INC1093,10/15/2018,Santa Barbara County,2047,1401,75,153,37,9,4508.65,Lightning,,,,
INC1094,8/22/2022,Mendocino County,15551,897,364,101,32,9,663.97,Human Activity,,,,
INC1095,1/16/2018,Mendocino County,13112,1468,46,281,89,17,4008.58,Human Activity,,,,
INC1096,7/7/2022,Shasta County,39209,710,282,189,34,14,376.72,Human Activity,,,,
INC1097,5/18/2016,Shasta County,11863,702,9,40,100,1,1474.78,Human Activity,,,,
INC1098,6/24/2014,Napa Valley,1338,1619,262,293,94,3,3308.74,Human Activity,,,,
INC1099,3/20/2021,Mendocino County,44299,1217,172,176,81,20,4276.78,Human Activity,,,,
